Timestamp,Game Title,Steam URL,Steam AppID,Why do you think your game would be a fit?,Will the game be in released state by September 24?,Does the game have a Demo available September 24 - October 1st?,Do you plan a Discount during the event?,Will there be a major announcement and/or feature during the event?,"If you answered Yes to the previous question, please elaborate:",Contact email
9/9/2026 11:31:04,Deadly Heart Gambit,store.steampowered.com/app/3202110/Deadly_Heart_Gambit/,3202110,A very wholesome and short visual novel. heart. ?,Yes,Yes,Yes,Yes,Steam page reveal of a new game. (ALICE=NULL),blinkhydrate@gmail.com
9/9/2026 11:49:48,Overbooked,https://store.steampowered.com/app/4482970/Overbooked/,4482970,"Cozy Vibe: Warm 2.5D pixel art starring a overworked Red Panda receptionist, a lazy Giant Panda boss, and cute animal guests creating a relaxing, wholesome aesthetic.

Desktop-Friendly: Turn-based spatial deckbuilding with zero real-time pressure, making it easy to play at your own comfortable pace on the side.",No,Yes,No,No,,blackmumllw@gmail.com
9/9/2026 12:45:05,Spirit Rancher,https://store.steampowered.com/app/3891680/Spirit_Rancher/,3891680,"Spirit Rancher is inspired by cozy farming sims like “Stardew Valley” as well as rancher type games like “Slime Rancher”. These games involve living your day to day life, building up and maintaining your ranch by caring for spirits, and making friends with a colorful cast of characters. We’ve also integrated visual novel elements in the game, helping the villagers with their problems and improving the village one day at a time. The story has themes of friendship and caring for the environment. We believe this overall cozy atmosphere fits with the event.",No,No,No,No,,danni@yangyangmobile.com
9/9/2026 12:56:01,Legends of Dragaea: Idle Dungeons,https://store.steampowered.com/app/2712380/Legends_of_Dragaea_Idle_Dungeons/,2712380,LoD is designed to run on another monitor (or a small window on the same desktop) and let you crawl dungeons while you get work done! It would be a fantastic addition to the event and we loved the last event you ran and would love to be in this one!,Yes,Yes,Yes,Yes,We'll be doing a big marketing push as we just released our latest expansion for LoD!,publish@gigatank3000.com
9/9/2026 12:59:57,Whirlight - No Time To Trip,https://store.steampowered.com/app/2706980/Whirlight__No_Time_To_Trip/,2706980,"Whirlight – No Time To Trip is a humorous, lighthearted point-and-click adventure with a strong focus on quirky characters, colorful environments, storytelling, and relaxed puzzle-solving.
While it isn’t a desktop companion game, we believe it could fit well within the broader cozy and feel-good side of the event. It’s designed as a fun, approachable adventure with a playful tone, lots of humor, and a strong focus on exploration and interaction with its world.
We think it could be a nice fit for players looking for a charming, quirky game to discover this autumn.",Yes,Yes,No,No,,ciro@imaginarylab.it
9/9/2026 13:03:15,Willy Morgan and the Curse of Bone Town,https://store.steampowered.com/app/1097110/Willy_Morgan_and_the_Curse_of_Bone_Town/,1097110,"Willy Morgan and the Curse of Bone Town could be a great fit for the broader cozy side of the event thanks to its lighthearted tone, colorful world, quirky characters, and relaxed approach to adventure-game storytelling.
Players explore the pirate-themed town of Bone Town, investigate the mysterious disappearance of Willy’s father, interact with eccentric characters, and solve puzzles at their own pace. The game combines classic point-and-click mechanics with a modern, accessible interface and a strong sense of nostalgic charm.
It’s a relatively gentle and approachable adventure, built around exploration, humor, discovery, and spending time in a quirky world, qualities we think could appeal to the audience looking for cozy and charming games to discover during the event.",Yes,Yes,No,No,,ciro@imaginarylab.it
9/9/2026 13:33:39,Cozy~Fishing Kitten,https://store.steampowered.com/app/4188260/CozyFishing_Kitten/,4188260,"Cozy~Fishing Kitten is a relaxing idle fishing game. Fish at your own pace from a corner of your desktop, customize your own adorable avatar and scenery, and feed and collect all kinds of cats as you gradually unlock more beautiful scenes - a little something to make work and study more fun. Online multiplayer supported.",No,Yes,No,Yes,"We expect to announce our release date around the time of the event, but it has not been finalized yet.",yangjy@kunpan.com
9/9/2026 13:39:59,Hopfall,https://store.steampowered.com/app/3456640/Hopfall/,3456640,"Hopfall is a cute frog-themed autobattler where players strategize before each battle and then watch their team fight automatically. During battles, players can sit back and enjoy the action while doing something else, making it a relaxed and low attention experience. 

Its cozy art style, collectible frogs, and approachable strategy make it a good fit for players looking for a charming companion style game.",No,No,,Yes,I will announce my demo which will be available on january,contact@classicalfrog.com
9/9/2026 14:09:24,After the Wane,https://store.steampowered.com/app/2742720/After_the_Wane/,2742720,"While After the Wane isn't an idle taskbar tool, it shares the exact sensory DNA that makes companion and cozy games so beloved: calming, hand-crafted beauty designed to accompany your day. Painted entirely in delicate watercolors and accompanied by an adaptive, breathing score by Illustrason, the game creates an intimate Parisian retreat on your screen. For players who love the relaxing, aesthetic presence of Rusty’s Retirement while studying or taking breaks, our story offers a warm, visually rich space centered on art, human movement, and gentle personal reflection. With our free Steam demo already live, we would love to welcome your cozy audience into our watercolor world.",No,Yes,No,No,,antonio.davisseau@nova-box.com
9/9/2026 14:14:09,Reus 2,https://store.steampowered.com/app/1875060/Reus_2/,1875060,It's a cozy management game so a bit aside of the event but it will be on sale for the duration of the event and with the release of a new DLC a week prior the event so it can boosts the visibility of the event too,Yes,Yes,Yes,No,We're releasing a new DLC 1 week prior the event,contact@firesquid.fr
9/9/2026 14:15:38,City tales Medieval Era ,https://store.steampowered.com/app/3265070/City_Tales__Medieval_Era/,3265070,It's a really cozy city builder with companions with a Story (still adjacent to the main theme though),Yes,Yes,Yes,No,,contact@firesquid.fr
9/9/2026 14:39:12,Bangkok Story: A Stray Dog,https://store.steampowered.com/app/2121450/Bangkok_Story_A_Stray_Dog/,2121450,"The game isn't a desktop companion game, but the main character of the game has a stray dog as a companion that helps the main character who is homeless to regain his sense of self once again with a heartwarming story between the two. The game might be considered to be a new title that has s Steam page and is now already released, so I'd like to take a shot.",Yes,Yes,Yes,No,,shamefulguys@gmail.com
9/9/2026 14:43:42,Hubert,https://store.steampowered.com/app/764930/Hubert/,764930,"It's not exactly ""desktop"" companion but you play as a human companion - a dog :).

Also, if you consider addition of cozy games, Hubert should fit that quite well as we usually describe the game as a Firewatch but with a dog.",No,Yes,No,No,,dolezal@brocap-studio.com
9/9/2026 14:49:42,Lexispell,https://s.team/a/4053960/,4053960,"Cozy puzzle/word game, participated in TaskbarTreasureWeek event",Yes,Yes,Yes,No,,victormeunier.dev@gmail.com
9/9/2026 15:13:54,Cozy Plates,https://store.steampowered.com/app/5071860/Cozy_Plates/,5071860,"While Cozy Plates isn't a traditional passive desktop companion, it perfectly aligns with the secondary focus of your event: cozy, zero stress gaming. It is a relaxing food decoration game where players can arrange cute meals at their own pace. Players who enjoy the low-friction, aesthetic charm of companion games often seek out exactly this kind of chill, creative experience to unwind. Since you mentioned welcoming cozy titles that are currently gathering wishlists, I believe the cute, stress free vibe of Cozy Plates would deeply resonate with your audience.",No,Yes,Yes,Yes,"During the event, I plan to officially announce the Q4 2026 (November/December) release window for Cozy Plates. I will also be using this event to build excitement and tease the upcoming playable demo that will be featured in the next Steam Next Fest.",ozgesaritemur@gmail.com
9/9/2026 15:52:15,Legend of Defenders,https://store.steampowered.com/app/4740930/,4740930,,No,Yes,No,No,"Legend of Defenders is an idle tower-defense game that fits relaxed background play. A playtest will be available beforehand, and the demo will launch on October 1.",brandon@gamersky.com
9/9/2026 15:59:52,Mad Merchant,https://store.steampowered.com/app/4665920/Mad_Merchant/,4665920,"This is an idle game, and it can also run in the background. So you can keep it running while you’re working and doing other things.",Yes,No,No,No,-- ,serhat@rockpaperpublisher.com
9/9/2026 16:02:12,Pupple Pop,https://store.steampowered.com/app/4224500/Pupple_Pop/,4224500,"Pupple Pop is essentially an idle game, so you can keep playing even while it’s running in the background. We also think it has a very cute and cozy feel to it.",Yes,No,No,No,--,serhat@rockpaperpublisher.com
9/9/2026 16:06:14,Hermit Simulator,https://store.steampowered.com/app/2608310/Hermit_Simulator/,2608310,"Hermit Simulator is a cozy co-op farming survival game where players build a life in the forest, accompanied by a loyal dog who helps them survive against wildlife - while waiting for aliens to arrive.",No,No,No,No,,svobodacreations@gmail.com
9/9/2026 16:14:26,I Hate My Waifu Streamer,https://store.steampowered.com/app/2988620/,2988620,All the game is on the desktop,Yes,Yes,Yes,Yes,A new DLC announcement,nozorigames@gmail.com
9/9/2026 16:25:36,Fischer's Fishing Journey,https://store.steampowered.com/app/3363270/,3363270,"Fischer's Fishing Journey is a relaxing idle fishing desktop companion game, and it will be discounted during the event.",Yes,No,Yes,No,,brandon@gamersky.com
9/9/2026 16:34:28,Birdfull,https://store.steampowered.com/app/3194890/Birdfull/,3194890,It's super cozy idle clicker about birds!,Yes,No,Yes,No,,hello@burgumgames.com
9/9/2026 16:42:59,Eggo,https://store.steampowered.com/app/3700760,3700760,"Hi Steam Support Team,
I am writing to request/appeal eligibility for our game, Eggo (AppID: 3700760), to participate in the upcoming Companion Falls for You: Desktop Companion Games, Celebrated This Autumn.
We noticed the game hasn't been automatically included, but it was designed from the ground up as a pure desktop companion experience. It perfectly aligns with the fest's specific criteria:

Unobtrusive Desktop Presence: The game does not interfere with the user's daily tasks. It is designed to be played in a windowed mode, occupying only a small portion of the screen (such as the bottom or side) while the player works, studies, or browses the web on their computer.

Passive Progression: This is absolutely not a ""focus-intensive"" game. The core loop progresses automatically even when the user is not actively interacting with it. For example, your Eggo grows, explores different planets for treasures, and builds relationships with friends' Eggos over time—all while you're away from the keyboard.

Casual & Idle Nature: The game fundamentally belongs to the relaxing/idle genre. It provides a comforting, low-pressure companion experience rather than demanding the player's direct attention. Whether it's dressing up your Eggo, watching it interact with friends' pets, or even discovering a hybrid baby egg, every moment feels light, joyful, and effortlessly engaging.

We believe Eggo is exactly the type of experience players will be looking for during this event. Could you please review our game and grant us registration eligibility?
Thank you for your time and help!
Best regards,
Dev team",No,No,Yes,No,,liang@gamersky.com
9/9/2026 16:45:23,Meowniverse,https://store.steampowered.com/app/3803720/_/,3803720,"Hi Steam Support Team,  
I am writing to request/appeal eligibility for our game, **Meowniverse** (AppID: **3803720**), to participate in the upcoming **Companion Falls for You: Desktop Companion Games, Celebrated This Autumn**.  
We noticed the game hasn't been automatically included, but it was designed from the ground up as a pure desktop companion experience. It perfectly aligns with the fest's specific criteria:  

**Unobtrusive Desktop Presence:** The game does not interfere with the user's daily tasks. It is designed to be played in a windowed mode, occupying only a small portion of the screen (such as the bottom or side) while the player works, studies, or browses the web on their computer.  

**Passive Progression:** This is absolutely not a ""focus-intensive"" game. The core loop progresses automatically even when the user is not actively interacting with it. For example, **your cats keep merging, evolving, and embarking on adventures in the background—bringing back coins and fish—even while you're focused on other tasks.**  

**Casual & Idle Nature:** The game fundamentally belongs to the relaxing/idle genre. It provides a comforting, low-pressure companion experience rather than demanding the player's direct attention. From watching cats evolve and fill your Collection to hearing their sweet meows lift your spirits, every moment is effortless, heartwarming, and purely enjoyable.  

We believe **Meowniverse** is exactly the type of experience players will be looking for during this event. Could you please review our game and grant us registration eligibility?  
Thank you for your time and help!  
Best regards,   
Dev team",No,Yes,No,No,,liang@gamersky.com
9/9/2026 16:47:36,Fischer's Fishing Journey,https://store.steampowered.com/app/3363270/,3363270,"Fischer's Fishing Journey is a relaxing idle fishing desktop companion game, and it will be discounted during the event.",Yes,No,Yes,No,,brandon@gamersky.com
9/9/2026 16:48:23,Fantasy Idle Dungeon,https://store.steampowered.com/app/3424610/,3424610,"Fantasy Idle Dungeon is an idle game suited to relaxed background play, and it will be discounted during the event.",Yes,No,Yes,No,,brandon@gamersky.com
9/9/2026 16:49:27,Whimsy Bake?Craft,https://store.steampowered.com/app/3713000/,3713000,"Whimsy Bake & Craft is a cozy idle simulation game that supports a desktop companion mode for displaying companions, and it will be discounted during the event.",Yes,No,Yes,No,,brandon@gamersky.com
9/9/2026 16:50:05,Desktop Fishes,https://store.steampowered.com/app/3618880/,3618880,"Desktop Fishes is a cozy idle aquarium overlay that brings collectible fish to the desktop, and it will be discounted during the event.",Yes,No,Yes,No,,brandon@gamersky.com
9/9/2026 16:50:47,Fantasy Aquarium,https://store.steampowered.com/app/3183350/,3183350,"Fantasy Aquarium is a relaxing idle aquarium game that can accompany players while they use their desktop, and it will be discounted during the event.",Yes,No,Yes,No,,brandon@gamersky.com
9/9/2026 16:52:37,Desktop Raid,https://store.steampowered.com/app/3122460/_/,3122460,This is an idle game where your character automatically fights monsters to get gear while you are away.,Yes,Yes,Yes,No,,liang@gamersky.com
9/9/2026 16:55:00,Plinkidle,https://store.steampowered.com/app/3684530/_/,3684530,This is an idle game where balls automatically drop into buckets to earn coins.,No,Yes,No,No,,liang@gamersky.com
9/9/2026 16:56:53,Idlequarium,https://store.steampowered.com/app/3689560/_/,3689560,This is an idle game where the fish in the tank automatically generate coins.,Yes,No,Yes,No,,liang@gamersky.com
